orfid	yORF	gene name	GFP tagged?	GFP visualized?	abundance	error	
6067	YOR332W	VMA4	tagged	visualized	16100	NA	
415	YOR335C	ALA1	tagged	visualized	33800	5740.0	
1998	YOL069W	NUF2	tagged	visualized	1550	NA	
1688	YGL119W	ABC1	tagged	visualized	952	NA	
2065	YOL059W	GPD2	tagged	visualized	8970	NA	
5245	YIL173W	VTH1	tagged	visualized	319	NA	
2370	YPR025C	CCL1	tagged	visualized	8700	1500.0	
3935	YDR248C		tagged	visualized	504	NA	
285	YJR091C	JSN1	tagged	visualized	784	NA	
1883	YKL145W	RPT1	tagged	visualized	105	NA	
3037	YDR288W		tagged	visualized	2540	NA	
2762	YPL031C	PHO85	tagged	visualized	6160	NA	
905	YIL108W		tagged	visualized	195	NA	
5792	YOR212W	STE4	tagged	visualized	2050	NA	
481	YDR006C	SOK1	tagged	visualized	not visualized	NA	
1558	YGL122C	NAB2	tagged	visualized	9670	2200.0	
6132	YLR292C	SEC72	tagged	visualized	5290	NA	
1393	YLR134W	PDC5	tagged	visualized	471000	NA	
3713	YGL135W	RPL1B	tagged	visualized	265000	NA	
2571	YKR077W		tagged	visualized	861	NA	
5024	YKL102C		tagged	visualized	not visualized	NA	
1458	YMR171C		tagged	visualized	656	NA	
6194	YLR110C	CCW12	tagged	visualized	158000	NA	
5336	YCR017C	CWH43	tagged	visualized	not visualized	NA	
2907	YLR439W	MRPL4	tagged	visualized	7700	NA	
5841	YJR161C	COS5	tagged	visualized	815	NA	
4414	YKL167C	MRP49	tagged	visualized	not visualized	NA	
350	YHR082C	KSP1	tagged	visualized	1270	NA	
547	YLR001C		tagged	visualized	206	NA	
5515	YHL040C	ARN1	tagged	visualized	technical problem	NA	
1573	YHR216W	IMD2	tagged	visualized	7870	NA	
3514	YGR267C	FOL2	tagged	visualized	2840	NA	
2586	YDL055C	PSA1	tagged	visualized	97100	NA	
1183	YPL184C		tagged	visualized	7950	NA	
1132	YDR228C	PCF11	tagged	visualized	2800	753.0	
1507	YFR006W		tagged	visualized	not visualized	NA	
1346	YOL027C	MDM38	tagged	visualized	7390	NA	
3398	YIL064W		tagged	visualized	1620	NA	
5106	YPR182W	SMX3	tagged	visualized	2570	NA	
1738	YPL219W	PCL8	tagged	visualized	396	NA	
823	YBL097W	BRN1	tagged	visualized	704	NA	
5459	YGL145W	TIP20	tagged	visualized	6020	NA	
2358	YBL013W	FMT1	tagged	visualized	1070	NA	
204	YPL226W	NEW1	tagged	visualized	37600	NA	
5872	YBR105C	VID24	tagged	visualized	6650	NA	
3675	YDR226W	ADK1	tagged	visualized	123000	NA	
4004	YGR102C		tagged	visualized	172	NA	
3920	YPR037C	ERV2	tagged	visualized	259	NA	
2472	YOR193W		tagged	visualized	382	NA	
2978	YHR199C		tagged	visualized	4420	NA	
970	YMR232W	FUS2	tagged	visualized	not visualized	NA	
1868	YJL146W	IDS2	tagged	visualized	1850	NA	
2777	YEL017W	GTT3	tagged	visualized	1300	NA	
2126	YDL005C	MED2	tagged	visualized	10800	NA	
25	YKL182W	FAS1	tagged	visualized	91800	NA	
1623	YML120C	NDI1	tagged	visualized	5240	NA	
1818	YNL261W	ORC5	tagged	visualized	768	163.0	
496	YBL014C	RRN6	tagged	visualized	237	36.3	
3843	YDL135C	RDI1	tagged	visualized	1670	NA	
3690	YPR174C		tagged	visualized	3420	NA	
4969	YBR009C	HHF1	tagged	visualized	524000	NA	
497	YDR096W	GIS1	tagged	visualized	432	NA	
5638	YDL180W		tagged	visualized	not visualized	NA	
4324	YNR004W		tagged	visualized	1720	NA	
1638	YFR039C		tagged	visualized	3170	NA	
6052	YLR025W	SNF7	tagged	visualized	3270	NA	
41	YBR208C	DUR1,2	tagged	visualized	952	NA	
3237	YJL115W	ASF1	tagged	visualized	6230	NA	
4080	YPR102C	RPL11A	tagged	visualized	39000	NA	
710	YLR144C	ACF2	tagged	visualized	1420	NA	
5761	YER136W	GDI1	tagged	visualized	7280	967.0	
2533	YPL090C	RPS6A	tagged	visualized	66000	NA	
3353	YDR471W	RPL27B	tagged	visualized	22900	NA	
1442	YMR258C		tagged	visualized	3080	NA	
3368	YGR207C		tagged	visualized	2400	NA	
4170	YBR244W	GPX2	tagged	visualized	2010	NA	
2342	YLR453C	RIF2	tagged	visualized	589	NA	
5807	YNL064C	YDJ1	tagged	visualized	119000	NA	
431	YDR356W	SPC110	tagged	visualized	279	NA	
155	YLR398C	SKI2	tagged	visualized	5770	NA	
530	YDR186C		tagged	visualized	195	NA	
2228	YMR253C		tagged	visualized	not visualized	NA	
1392	YLR044C	PDC1	tagged	visualized	8970	NA	
3093	YDR054C	CDC34	tagged	visualized	8170	NA	
3744	YHR147C	MRPL6	tagged	visualized	5680	NA	
1703	YFR010W	UBP6	tagged	visualized	6770	NA	
269	YOR109W	INP53	tagged	visualized	1520	NA	
677	YOL076W	MDM20	tagged	visualized	5800	NA	
790	YOR299W	BUD7	tagged	visualized	2070	NA	
1523	YDL020C	RPN4	tagged	visualized	low signal	NA	
3859	YMR073C		tagged	visualized	450	NA	
6161	YIR022W	SEC11	tagged	visualized	3150	NA	
612	YIL107C	PFK26	tagged	visualized	1710	NA	
1753	YDL238C		tagged	visualized	279	NA	
2664	YGL001C	ERG26	tagged	visualized	2580	NA	
3138	YDL129W		tagged	visualized	450	NA	
5271	YDR407C	TRS120	tagged	visualized	259	NA	
5350	YLR148W	PEP3	tagged	visualized	2020	NA	
4381	YBR167C	POP7	tagged	visualized	low signal	NA	
