yORF	gene name	GFP tagged?	GFP visualized?	abundance	localization summary	
YOR332W	VMA4	tagged	visualized	16100	vacuolar membrane	
YOR335C	ALA1	tagged	visualized	33800	cytoplasm	
YOL069W	NUF2	tagged	visualized	1550	spindle pole	
YGL119W	ABC1	tagged	visualized	952	mitochondrion	
YOL059W	GPD2	tagged	visualized	8970	cytoplasm,nucleus	
YIL173W	VTH1	tagged	visualized	319	endosome	
YPR025C	CCL1	tagged	visualized	8700	nucleus	
YDR248C		tagged	visualized	504	cytoplasm	
YJR091C	JSN1	tagged	visualized	784	ambiguous	
YKL145W	RPT1	tagged	visualized	105	nucleus	
YDR288W		tagged	visualized	2540	cytoplasm,nucleus	
YPL031C	PHO85	tagged	visualized	6160	cytoplasm,nucleus	
YIL108W		tagged	visualized	195	cytoplasm	
YOR212W	STE4	tagged	visualized	2050	cytoplasm	
YDR006C	SOK1	tagged	visualized	not visualized	nucleus	
YGL122C	NAB2	tagged	visualized	9670	nucleus	
YLR292C	SEC72	tagged	visualized	5290	ER	
YLR134W	PDC5	tagged	visualized	471000	cytoplasm,nucleus	
YGL135W	RPL1B	tagged	visualized	265000	cytoplasm	
YKR077W		tagged	visualized	861	cytoplasm,nucleus	
YKL102C		tagged	visualized	not visualized	cytoplasm,nucleus	
YMR171C		tagged	visualized	656	endosome	
YLR110C	CCW12	tagged	visualized	158000	ER	
YCR017C	CWH43	tagged	visualized	not visualized	ER	
YLR439W	MRPL4	tagged	visualized	7700	mitochondrion	
YJR161C	COS5	tagged	visualized	815	vacuole	
YKL167C	MRP49	tagged	visualized	not visualized	mitochondrion	
YHR082C	KSP1	tagged	visualized	1270	cytoplasm	
YLR001C		tagged	visualized	206	vacuolar membrane	
YHL040C	ARN1	tagged	visualized	technical problem	vacuole,endosome	
YHR216W	IMD2	tagged	visualized	7870	cytoplasm	
YGR267C	FOL2	tagged	visualized	2840	cytoplasm,nucleus	
YDL055C	PSA1	tagged	visualized	97100	cytoplasm	
YPL184C		tagged	visualized	7950	cytoplasm	
YDR228C	PCF11	tagged	visualized	2800	nucleus	
YFR006W		tagged	visualized	not visualized	cytoplasm	
YOL027C	MDM38	tagged	visualized	7390	mitochondrion	
YIL064W		tagged	visualized	1620	cytoplasm	
YPR182W	SMX3	tagged	visualized	2570	nucleus	
YPL219W	PCL8	tagged	visualized	396	cytoplasm,nucleus	
YBL097W	BRN1	tagged	visualized	704	nucleus	
YGL145W	TIP20	tagged	visualized	6020	ER	
YBL013W	FMT1	tagged	visualized	1070	mitochondrion	
YPL226W	NEW1	tagged	visualized	37600	cytoplasm	
YBR105C	VID24	tagged	visualized	6650	cytoplasm,nucleus	
YDR226W	ADK1	tagged	visualized	123000	cytoplasm,nucleus	
YGR102C		tagged	visualized	172	mitochondrion	
YPR037C	ERV2	tagged	visualized	259	vacuole	
YOR193W		tagged	visualized	382	peroxisome	
YHR199C		tagged	visualized	4420	mitochondrion	
YMR232W	FUS2	tagged	visualized	not visualized	cytoplasm	
YJL146W	IDS2	tagged	visualized	1850	cytoplasm,nucleus	
YEL017W	GTT3	tagged	visualized	1300	nuclear periphery	
YDL005C	MED2	tagged	visualized	10800	nucleus	
YKL182W	FAS1	tagged	visualized	91800	cytoplasm	
YML120C	NDI1	tagged	visualized	5240	mitochondrion	
YNL261W	ORC5	tagged	visualized	768	nucleus	
YBL014C	RRN6	tagged	visualized	237	cytoplasm,nucleolus	
YDL135C	RDI1	tagged	visualized	1670	cytoplasm,nucleus	
YPR174C		tagged	visualized	3420	nuclear periphery	
YBR009C	HHF1	tagged	visualized	524000	nucleus	
YDR096W	GIS1	tagged	visualized	432	nucleus	
YDL180W		tagged	visualized	not visualized	vacuole	
YNR004W		tagged	visualized	1720	nucleolus	
YFR039C		tagged	visualized	3170	ambiguous	
YLR025W	SNF7	tagged	visualized	3270	endosome	
YBR208C	DUR1,2	tagged	visualized	952	cytoplasm	
YJL115W	ASF1	tagged	visualized	6230	nucleus	
YPR102C	RPL11A	tagged	visualized	39000	cytoplasm	
YLR144C	ACF2	tagged	visualized	1420	cytoplasm,nucleus	
YER136W	GDI1	tagged	visualized	7280	cytoplasm	
YPL090C	RPS6A	tagged	visualized	66000	cytoplasm	
YDR471W	RPL27B	tagged	visualized	22900	cytoplasm	
YMR258C		tagged	visualized	3080	cytoplasm,nucleus	
YGR207C		tagged	visualized	2400	mitochondrion	
YBR244W	GPX2	tagged	visualized	2010	cytoplasm,nucleus	
YLR453C	RIF2	tagged	visualized	589	cytoplasm,nucleus	
YNL064C	YDJ1	tagged	visualized	119000	cytoplasm,nucleus	
YDR356W	SPC110	tagged	visualized	279	spindle pole	
YLR398C	SKI2	tagged	visualized	5770	cytoplasm	
YDR186C		tagged	visualized	195	cytoplasm	
YMR253C		tagged	visualized	not visualized	punctate composite,early Golgi	
YLR044C	PDC1	tagged	visualized	8970	ambiguous,cytoplasm,nucleus	
YDR054C	CDC34	tagged	visualized	8170	cytoplasm,nucleus	
YHR147C	MRPL6	tagged	visualized	5680	cell periphery	
YFR010W	UBP6	tagged	visualized	6770	cytoplasm,nucleus	
YOR109W	INP53	tagged	visualized	1520	punctate composite	
YOL076W	MDM20	tagged	visualized	5800	cytoplasm	
YOR299W	BUD7	tagged	visualized	2070	late Golgi	
YDL020C	RPN4	tagged	visualized	low signal	cytoplasm,nucleus	
YMR073C		tagged	visualized	450	cytoplasm	
YIR022W	SEC11	tagged	visualized	3150	ER	
YIL107C	PFK26	tagged	visualized	1710	cytoplasm	
YDL238C		tagged	visualized	279	ambiguous,cytoplasm	
YGL001C	ERG26	tagged	visualized	2580	ER	
YDL129W		tagged	visualized	450	cytoplasm,nucleus	
YDR407C	TRS120	tagged	visualized	259	late Golgi	
YLR148W	PEP3	tagged	visualized	2020	endosome	
YBR167C	POP7	tagged	visualized	low signal	nucleus	
YMR291W		tagged	visualized	10200	cytoplasm,nucleus	
YJL063C	MRPL8	tagged	visualized	3030	mitochondrion	
YGR269W		tagged	visualized	279	cytoplasm,nucleus	
YKL028W	TFA1	tagged	visualized	35900	nucleus	
YJR083C	ACF4	tagged	visualized	1140	ambiguous	
YDR441C	APT2	tagged	visualized	937	cytoplasm	
YJL131C		tagged	visualized	319	mitochondrion	
YAL047C	SPC72	tagged	visualized	639	spindle pole	
YPL178W	CBC2	tagged	visualized	6200	nucleus	
YDL043C	PRP11	tagged	visualized	3460	nucleus	
YML032C	RAD52	tagged	visualized	1080	nucleus	
