yORF	gene name	GFP tagged?	GFP visualized?	abundance	
YAL001C	TFC3	tagged	visualized	125	
YAL002W	VPS8	tagged	visualized	736	
YAL005C	SSA1	tagged	visualized	269000	
YAL007C	ERP2	tagged	visualized	26300	
YAL008W	FUN14	tagged	visualized	1920	
YAL009W	SPO7	tagged	visualized	861	
YAL010C	MDM10	tagged	visualized	768	
YAL011W	SWC1	tagged	visualized	1380	
YAL012W	CYS3	tagged	visualized	38300	
YAL014C	SYN8	tagged	visualized	not visualized	
YAL015C	NTG1	tagged	visualized	technical problem	
YAL016W	TPD3	tagged	visualized	16900	
YAL017W	PSK1	tagged	visualized	967	
YAL019W	FUN30	tagged	visualized	6800	
YAL021C	CCR4	tagged	visualized	2780	
YAL023C	PMT2	tagged	visualized	6510	
YAL024C	LTE1	tagged	visualized	304	
YAL026C	DRS2	tagged	visualized	606	
YAL027W		tagged	visualized	1170	
YAL029C	MYO4	tagged	visualized	2210	
YAL031C	FUN21	tagged	visualized	227	
YAL032C	PRP45	tagged	visualized	1670	
YAL033W	POP5	tagged	visualized	2230	
YAL034W-A	MTW1	tagged	visualized	2610	
YAL035W	FUN12	tagged	visualized	13400	
YAL036C	FUN11	tagged	visualized	11700	
YAL038W	CDC19	tagged	visualized	291000	
YAL039C	CYC3	tagged	visualized	3870	
YAL041W	CDC24	tagged	visualized	1010	
YAL043C	PTA1	tagged	visualized	3730	
YAL044C	GCV3	tagged	visualized	3510	
YAL047C	SPC72	tagged	visualized	639	
YAL049C		tagged	visualized	1800	
YAL053W		tagged	visualized	414	
YAL054C	ACS1	tagged	visualized	2890	
YAL055W	PEX22	tagged	visualized	259	
YAL056W	GPB2	tagged	visualized	low signal	
YAL058W	CNE1	tagged	visualized	4760	
YAL059W	ECM1	tagged	visualized	2840	
YAL060W	BDH1	tagged	visualized	8730	
YAL061W		tagged	visualized	3090	
YAR002C-A	ERP1	tagged	visualized	20700	
YAR002W	NUP60	tagged	visualized	4590	
YAR003W	SWD1	tagged	visualized	907	
YAR007C	RFA1	tagged	visualized	4100	
YAR009C		tagged	visualized	2220	
YAR014C	BUD14	tagged	visualized	538	
YAR015W	ADE1	tagged	visualized	4280	
YAR019C	CDC15	tagged	visualized	238	
YAR027W	UIP3	tagged	visualized	1690	
YAR028W		tagged	visualized	1840	
YAR044W	OSH1	tagged	visualized	846	
YAR071W	PHO11	tagged	visualized	1460	
YBL001C	ECM15	tagged	visualized	1900	
YBL002W	HTB2	tagged	visualized	443000	
YBL003C	HTA2	tagged	visualized	32100	
