yORF	gene name	GFP tagged?	GFP visualized?	localization summary	
YMR137C	PSO2	tagged	visualized	cytoplasm,nucleus	
YBR123C	TFC1	tagged	visualized	nucleus	
YGR195W	SKI6	tagged	visualized	nucleolus,nucleus	
YDR146C	SWI5	tagged	visualized	cytoplasm,nucleus	
YOL059W	GPD2	tagged	visualized	cytoplasm,nucleus	
YGR136W	LSB1	tagged	visualized	cytoplasm,nucleus	
YHR097C		tagged	visualized	cytoplasm,nucleus	
YPL122C	TFB2	tagged	visualized	nucleus	
YBR258C	SHG1	tagged	visualized	nucleus	
YKR025W	RPC37	tagged	visualized	nucleus	
YPR025C	CCL1	tagged	visualized	nucleus	
YIL096C		tagged	visualized	nucleolus,nucleus	
YKL145W	RPT1	tagged	visualized	nucleus	
YNR009W		tagged	visualized	cytoplasm,nucleus	
YDR288W		tagged	visualized	cytoplasm,nucleus	
YOL135C	MED7	tagged	visualized	nucleus	
YPL031C	PHO85	tagged	visualized	cytoplasm,nucleus	
YBR017C	KAP104	tagged	visualized	cytoplasm,nucleus	
YDL236W	PHO13	tagged	visualized	cytoplasm,nucleus	
YJL191W	RPS14B	tagged	visualized	cytoplasm,nucleolus,nucleus	
YDR006C	SOK1	tagged	visualized	nucleus	
YDR193W		tagged	visualized	cytoplasm,nucleus	
YFL024C	EPL1	tagged	visualized	nucleus	
YOR174W	MED4	tagged	visualized	nucleus	
YHR164C	DNA2	tagged	visualized	nucleus	
YGL122C	NAB2	tagged	visualized	nucleus	
YML060W	OGG1	tagged	visualized	nucleus	
YOR342C		tagged	visualized	cytoplasm,nucleus	
YNL224C		tagged	visualized	cytoplasm,nucleus	
YLR134W	PDC5	tagged	visualized	cytoplasm,nucleus	
YFL028C	CAF16	tagged	visualized	cytoplasm,nucleus	
YKL193C	SDS22	tagged	visualized	cytoplasm,nucleus	
YLL018C-A	COX19	tagged	visualized	cytoplasm,nucleus	
YER079W		tagged	visualized	cytoplasm,nucleus	
YGR151C		tagged	visualized	cytoplasm,nucleus	
YBR278W	DPB3	tagged	visualized	cytoplasm,nucleus	
YMR075W	RCO1	tagged	visualized	nucleus	
YKR077W		tagged	visualized	cytoplasm,nucleus	
YKL102C		tagged	visualized	cytoplasm,nucleus	
YDR419W	RAD30	tagged	visualized	cytoplasm,nucleus	
YOR360C	PDE2	tagged	visualized	cytoplasm,nucleus	
YML108W		tagged	visualized	cytoplasm,nucleus	
YIL122W	POG1	tagged	visualized	nucleus	
YLR363W-A		tagged	visualized	nucleus	
YLL008W	DRS1	tagged	visualized	cytoplasm,nucleolus,nucleus	
YAL016W	TPD3	tagged	visualized	cytoplasm,nucleus	
YDR460W	TFB3	tagged	visualized	nucleus	
YKR086W	PRP16	tagged	visualized	cytoplasm,nucleus	
YGR178C	PBP1	tagged	visualized	cytoplasm,nucleus	
YJR055W	HIT1	tagged	visualized	cytoplasm,nucleus	
YCR016W		tagged	visualized	nucleolus,nucleus	
YDR363W	ESC2	tagged	visualized	cytoplasm,nucleus	
YDL205C	HEM3	tagged	visualized	cytoplasm,nucleus	
YDR088C	SLU7	tagged	visualized	nucleus	
YMR114C		tagged	visualized	cytoplasm,nucleus	
YKL189W	HYM1	tagged	visualized	cytoplasm,nucleus	
YGL011C	SCL1	tagged	visualized	cytoplasm,nucleus	
YPL089C	RLM1	tagged	visualized	cytoplasm,nucleus	
YGR267C	FOL2	tagged	visualized	cytoplasm,nucleus	
YDR140W	FYV9	tagged	visualized	cytoplasm,nucleus	
YLR043C	TRX1	tagged	visualized	cytoplasm,nucleus	
YDR330W		tagged	visualized	cytoplasm,nucleus	
YDR228C	PCF11	tagged	visualized	nucleus	
YPL093W	NOG1	tagged	visualized	nucleus	
YOR258W	HNT3	tagged	visualized	cytoplasm,nucleus	
YOR323C	PRO2	tagged	visualized	cytoplasm,nucleus	
YNL133C	FYV6	tagged	visualized	nucleus	
YOR025W	HST3	tagged	visualized	nucleus	
YJR135C	MCM22	tagged	visualized	nucleus,spindle pole	
YGL238W	CSE1	tagged	visualized	cytoplasm,nucleus	
YPR182W	SMX3	tagged	visualized	nucleus	
YPL219W	PCL8	tagged	visualized	cytoplasm,nucleus	
YLR373C	VID22	tagged	visualized	nucleus	
YBL097W	BRN1	tagged	visualized	nucleus	
YOR074C	CDC21	tagged	visualized	cytoplasm,nucleus	
YBR150C	TBS1	tagged	visualized	cytoplasm,nucleus	
YDL003W	MCD1	tagged	visualized	cytoplasm,nucleus	
YBR105C	VID24	tagged	visualized	cytoplasm,nucleus	
YHR178W	STB5	tagged	visualized	cytoplasm,nucleus	
YDR226W	ADK1	tagged	visualized	cytoplasm,nucleus	
YCR053W	THR4	tagged	visualized	cytoplasm,nucleus	
YLR135W	SLX4	tagged	visualized	cytoplasm,nucleus	
YJR089W	BIR1	tagged	visualized	nucleus,spindle pole,microtubule	
YDL064W	UBC9	tagged	visualized	cytoplasm,nucleus	
YLR270W	DCS1	tagged	visualized	cytoplasm,nucleus	
YJL146W	IDS2	tagged	visualized	cytoplasm,nucleus	
YDL005C	MED2	tagged	visualized	nucleus	
YNL261W	ORC5	tagged	visualized	nucleus	
YPR016C	TIF6	tagged	visualized	nucleolus,nucleus	
YDL135C	RDI1	tagged	visualized	cytoplasm,nucleus	
YBR223C	TDP1	tagged	visualized	cytoplasm,nucleus	
YBL074C	AAR2	tagged	visualized	cytoplasm,nucleus	
YBR009C	HHF1	tagged	visualized	nucleus	
YPL138C	SPP1	tagged	visualized	nucleus	
YDR096W	GIS1	tagged	visualized	nucleus	
YBR151W	APD1	tagged	visualized	cytoplasm,nucleus	
YEL025C	SRI1	tagged	visualized	cytoplasm,nucleus	
YGL254W	FZF1	tagged	visualized	cytoplasm,nucleus	
YPR019W	CDC54	tagged	visualized	cytoplasm,nucleus	
YGR104C	SRB5	tagged	visualized	nucleus	
YJL122W		tagged	visualized	nucleus	
YBR242W		tagged	visualized	cytoplasm,nucleus	
YJL115W	ASF1	tagged	visualized	nucleus	
YLR144C	ACF2	tagged	visualized	cytoplasm,nucleus	
YOL006C	TOP1	tagged	visualized	nucleolus,nucleus	
YGL067W	NPY1	tagged	visualized	cytoplasm,nucleus	
YBR082C	UBC4	tagged	visualized	cytoplasm,nucleus	
YLR354C	TAL1	tagged	visualized	nucleus	
YDR404C	RPB7	tagged	visualized	nucleus	
YBL002W	HTB2	tagged	visualized	nucleus	
YDR533C		tagged	visualized	cytoplasm,nucleus	
YJL081C	ARP4	tagged	visualized	nucleus	
YMR258C		tagged	visualized	cytoplasm,nucleus	
YLR453C	RIF2	tagged	visualized	cytoplasm,nucleus	
YER095W	RAD51	tagged	visualized	cytoplasm,nucleus	
YBR244W	GPX2	tagged	visualized	cytoplasm,nucleus	
YGL201C	MCM6	tagged	visualized	cytoplasm,nucleus	
YJR067C	YAE1	tagged	visualized	cytoplasm,nucleus	
YNL064C	YDJ1	tagged	visualized	cytoplasm,nucleus	
YIL083C		tagged	visualized	cytoplasm,nucleus	
YJL176C	SWI3	tagged	visualized	nucleus	
YOR116C	RPO31	tagged	visualized	nucleus	
YIL053W	RHR2	tagged	visualized	ambiguous,cytoplasm,nucleus	
YJL140W	RPB4	tagged	visualized	nucleus	
YLR424W		tagged	visualized	cytoplasm,nucleus	
YLR044C	PDC1	tagged	visualized	ambiguous,cytoplasm,nucleus	
YLR327C		tagged	visualized	cytoplasm,nucleus	
YMR277W	FCP1	tagged	visualized	nucleus	
YMR190C	SGS1	tagged	visualized	cytoplasm,nucleus	
YDR054C	CDC34	tagged	visualized	cytoplasm,nucleus	
YFR010W	UBP6	tagged	visualized	cytoplasm,nucleus	
YGL070C	RPB9	tagged	visualized	nucleus	
YOR095C	RKI1	tagged	visualized	cytoplasm,nucleus	
YFR013W	IOC3	tagged	visualized	nucleus	
YFL017W-A	SMX2	tagged	visualized	nucleus	
YIR012W	SQT1	tagged	visualized	cytoplasm,nucleus	
YDL020C	RPN4	tagged	visualized	cytoplasm,nucleus	
YNL312W	RFA2	tagged	visualized	nucleus	
YKL210W	UBA1	tagged	visualized	cytoplasm,nucleus	
YER161C	SPT2	tagged	visualized	nucleus	
YDL129W		tagged	visualized	cytoplasm,nucleus	
YBR167C	POP7	tagged	visualized	nucleus	
YPR169W	JIP5	tagged	visualized	nucleolus,nucleus	
YLL002W	RTT109	tagged	visualized	nucleus	
