ORF Name	Plate No.	Well No.
YLR106C	GFP(+)01	A1
YKR054C	GFP(+)01	B1
YDR457W	GFP(+)01	C1
YDR150W	GFP(+)01	D1
YGL195W	GFP(+)01	E1
YLR454W	GFP(+)01	F1
YHR165C	GFP(+)01	G1
YIL129C	GFP(+)01	H1
YFR019W	GFP(+)01	A2
YNR016C	GFP(+)01	B2
YLR430W	GFP(+)01	C2
YNL262W	GFP(+)01	D2
YJL130C	GFP(+)01	E2
YPL085W	GFP(+)01	F2
YER155C	GFP(+)01	G2
YER172C	GFP(+)01	H2
YDL171C	GFP(+)01	A3
YMR207C	GFP(+)01	B3
YCR093W	GFP(+)01	C3
YKL182W	GFP(+)01	D3
YJL207C	GFP(+)01	E3
YGR271W	GFP(+)01	F3
YNL271C	GFP(+)01	G3
YLR422W	GFP(+)01	H3
YHR023W	GFP(+)01	A4
YBR275C	GFP(+)01	B4
YPL231W	GFP(+)01	C4
YLR024C	GFP(+)01	D4
YHL030W	GFP(+)01	E4
YPL082C	GFP(+)01	F4
YBR208C	GFP(+)01	G4
YFL033C	GFP(+)01	H4
YJL109C	GFP(+)01	A5
YKL014C	GFP(+)01	B5
YER132C	GFP(+)01	C5
YNL172W	GFP(+)01	D5
YDL140C	GFP(+)01	E5
YMR229C	GFP(+)01	F5
YOR290C	GFP(+)01	G5
YDR141C	GFP(+)01	H5
YKR031C	GFP(+)01	A6
YML059C	GFP(+)01	B6
YOR341W	GFP(+)01	C6
YDR283C	GFP(+)01	D6
YMR219W	GFP(+)01	E6
YGL206C	GFP(+)01	F6
YJR140C	GFP(+)01	G6
YCL014W	GFP(+)01	H6
YNL297C	GFP(+)01	A7
YGR098C	GFP(+)01	B7
YOR191W	GFP(+)01	C7
YNL139C	GFP(+)01	D7
YNL242W	GFP(+)01	E7
YDR127W	GFP(+)01	F7
YJR138W	GFP(+)01	G7
YNR031C	GFP(+)01	H7
YOR326W	GFP(+)01	A8
YHR186C	GFP(+)01	B8
YLR247C	GFP(+)01	C8
YML072C	GFP(+)01	D8
YOL004W	GFP(+)01	E8
YPR184W	GFP(+)01	F8
YGL173C	GFP(+)01	G8
YHR164C	GFP(+)01	H8
YKL101W	GFP(+)01	A9
YDR334W	GFP(+)01	B9
YBL034C	GFP(+)01	C9
YPL242C	GFP(+)01	D9
YDR180W	GFP(+)01	E9
YGL150C	GFP(+)01	F9
YGL197W	GFP(+)01	G9
YKL010C	GFP(+)01	H9
YJL095W	GFP(+)01	A10
YAL029C	GFP(+)01	B10
YER164W	GFP(+)01	C10
YNL102W	GFP(+)01	D10
YOR116C	GFP(+)01	E10
